Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-07-01 00:00:00+03:00,18.569902104731423,18.63990143168936,18.259904267915434,18.509902954101562,234260000,0.0,0.0
1997-07-02 00:00:00+03:00,18.509902211728946,18.769901063815436,18.489901859874937,18.729900360107422,294620000,0.0,0.0
1997-07-03 00:00:00+03:00,18.729900514737118,19.159898546455562,18.709900162717993,19.11989974975586,366030000,0.0,0.0
1997-07-04 00:00:00+03:00,19.119900065987068,19.359898572170348,18.96989933070126,19.179899215698242,341110000,0.0,0.0
1997-07-07 00:00:00+03:00,19.179899154172816,19.629895636570993,19.179899154172816,19.529897689819336,304550000,0.0,0.0
1997-07-08 00:00:00+03:00,19.529897375420877,19.5898965239737,18.939900343858902,19.109899520874023,242650000,0.0,0.0
1997-07-09 00:00:00+03:00,19.109899725195852,19.509897232055664,19.109899725195852,19.509897232055664,309040000,0.0,0.0
1997-07-10 00:00:00+03:00,19.509895982114923,20.099892982185764,19.509895982114923,19.989892959594727,416940000,0.0,0.0
1997-07-11 00:00:00+03:00,19.989894435041162,20.269893646240234,19.70989522384209,20.269893646240234,391450000,0.0,0.0
1997-07-14 00:00:00+03:00,20.269892590335687,20.559890055275797,20.029894096383654,20.42989158630371,411260000,0.0,0.0
1997-07-15 00:00:00+03:00,20.42989121251748,20.599890381040503,20.16989237199177,20.359891891479492,320290000,0.0,0.0
1997-07-16 00:00:00+03:00,20.359892363329866,20.3998911588478,19.71989446899646,20.089893341064453,360690000,0.0,0.0
1997-07-17 00:00:00+03:00,20.089893181322722,20.189893030330165,19.88989348330783,20.059892654418945,333710000,0.0,0.0
1997-07-18 00:00:00+03:00,20.05989286698405,20.28989309433992,19.979893368398074,20.09989356994629,333710000,0.0,0.0
1997-07-21 00:00:00+03:00,20.09989448702849,20.179893989264542,19.38989723576227,19.549896240234375,285100000,0.0,0.0
1997-07-22 00:00:00+03:00,19.549896134766524,19.659896164999633,19.339898157781754,19.529897689819336,282570000,0.0,0.0
1997-07-23 00:00:00+03:00,19.529897806108206,19.529897806108206,19.049898885084705,19.189899444580078,225240000,0.0,0.0
1997-07-24 00:00:00+03:00,19.189897858257655,19.619895862723478,19.129896806003057,19.249897003173828,312430000,0.0,0.0
1997-07-25 00:00:00+03:00,19.249896983985945,19.30989612884231,18.739899484360773,18.8898983001709,227400000,0.0,0.0
1997-07-28 00:00:00+03:00,18.889899306833684,18.949900362225993,18.329902807875133,18.35990333557129,175840000,0.0,0.0
1997-07-29 00:00:00+03:00,18.359904071701553,18.699902436535922,18.359904071701553,18.499902725219727,233010000,0.0,0.0
1997-07-30 00:00:00+03:00,18.499901725944984,19.02989959716797,18.499901725944984,19.02989959716797,289430000,0.0,0.0
1997-07-31 00:00:00+03:00,19.029900326706755,19.529897689819336,19.029900326706755,19.529897689819336,298050000,0.0,0.0
1997-08-01 00:00:00+03:00,19.529896845862257,19.869895190673347,19.42989699609338,19.729894638061523,320870000,0.0,0.0
1997-08-04 00:00:00+03:00,19.729894187460694,20.38989051058809,19.729894187460694,20.359891891479492,290220000,0.0,0.0
1997-08-05 00:00:00+03:00,20.35989203907808,20.649889500814716,19.949894378021778,20.02989387512207,282750000,0.0,0.0
1997-08-06 00:00:00+03:00,20.02989362474453,20.439891280675784,19.90989342692489,20.33989143371582,277670000,0.0,0.0
1997-08-07 00:00:00+03:00,20.33989228225255,20.649890104156285,20.30989175471147,20.49989128112793,342670000,0.0,0.0
1997-08-08 00:00:00+03:00,20.49989074819024,20.69989044525431,20.259892256116434,20.399890899658203,253160000,0.0,0.0
1997-08-11 00:00:00+03:00,20.39989047163155,20.47988996731095,20.189892510725034,20.31989097595215,197550000,0.0,0.0
1997-08-12 00:00:00+03:00,20.3198911895501,20.469890007108425,20.209891166582718,20.359891891479492,216320000,0.0,0.0
1997-08-13 00:00:00+03:00,20.359892147370758,20.399890942464424,19.969892928011305,20.04989242553711,251450000,0.0,0.0
1997-08-14 00:00:00+03:00,20.049893008341318,20.46989085939477,20.049893008341318,20.159893035888672,313060000,0.0,0.0
1997-08-15 00:00:00+03:00,20.159892396304432,20.309891215349325,19.979893050515177,20.039894104003906,328800000,0.0,0.0
1997-08-18 00:00:00+03:00,20.039895174930912,20.21989262300072,19.42989778323331,19.5198974609375,214970000,0.0,0.0
1997-08-19 00:00:00+03:00,19.51989682383926,19.77989567235002,19.269898151117975,19.3998966217041,202110000,0.0,0.0
1997-08-20 00:00:00+03:00,19.399896088039732,19.60989595916483,19.129897071166802,19.299896240234375,217740000,0.0,0.0
1997-08-21 00:00:00+03:00,19.299896723111498,19.759895271589777,19.299896723111498,19.749895095825195,287410000,0.0,0.0
1997-08-22 00:00:00+03:00,19.749894615591636,19.939894135821714,19.479895598528646,19.659894943237305,250180000,0.0,0.0
1997-08-25 00:00:00+03:00,19.65989605871077,19.72989538399392,19.389897026328438,19.509897232055664,212240000,0.0,0.0
1997-08-26 00:00:00+03:00,19.509895840928476,19.619895862723478,19.099898187214183,19.249897003173828,250220000,0.0,0.0
1997-08-27 00:00:00+03:00,19.249897003173828,19.469895139425407,19.139896981378822,19.249897003173828,201510000,0.0,0.0
1997-08-28 00:00:00+03:00,19.249897647977097,19.76989534090447,19.249897647977097,19.729894638061523,340430000,0.0,0.0
1997-08-29 00:00:00+03:00,19.729895008933266,20.119894239629033,19.65989568498079,19.799894332885742,283930000,0.0,0.0
1997-09-01 00:00:00+03:00,19.799894226822477,19.96989340151293,19.64989540382232,19.779895782470703,187910000,0.0,0.0
1997-09-02 00:00:00+03:00,19.779896095956047,20.229892572088378,19.76989591995241,20.199893951416016,270210000,0.0,0.0
1997-09-03 00:00:00+03:00,20.199893843698906,20.539892196655273,20.13989278799705,20.539892196655273,252280000,0.0,0.0
1997-09-04 00:00:00+03:00,20.53989105623473,21.06988700080481,20.53989105623473,21.039888381958008,396530000,0.0,0.0
1997-09-05 00:00:00+03:00,21.039889441590084,21.31988673740003,21.019889089792652,21.239887237548828,343030000,0.0,0.0
1997-09-08 00:00:00+03:00,21.23988733994403,21.979883193969727,21.23988733994403,21.979883193969727,423970000,0.0,0.0
1997-09-09 00:00:00+03:00,21.97988324432472,22.349882125854492,21.76988527097379,22.349882125854492,457740000,0.0,0.0
1997-09-10 00:00:00+03:00,22.34988149513639,22.589879989624023,22.109883000648754,22.589879989624023,536190000,0.0,0.0
1997-09-11 00:00:00+03:00,22.58987989230262,23.16987672831696,22.58987989230262,22.92987823486328,580090000,0.0,0.0
1997-09-12 00:00:00+03:00,22.929878975642193,23.25987715321932,22.73987944693459,23.06987762451172,526700000,0.0,0.0
1997-09-15 00:00:00+03:00,23.069876741097136,23.679874100393235,23.009877594927534,23.619874954223633,553000000,0.0,0.0
1997-09-16 00:00:00+03:00,23.619874794128815,24.109871950426058,23.35987595270485,23.589874267578125,612270000,0.0,0.0
1997-09-17 00:00:00+03:00,23.58987506455028,24.099872589111328,23.439876241406093,24.099872589111328,514350000,0.0,0.0
1997-09-18 00:00:00+03:00,24.099872429831787,24.69986962578158,23.96987205191777,24.06987190246582,497800000,0.0,0.0
1997-09-19 00:00:00+03:00,24.06987291439765,24.219871742856636,23.679875578936567,23.899873733520508,393390000,0.0,0.0
1997-09-22 00:00:00+03:00,23.899872464606094,24.03987301676155,23.549873945225183,24.019872665405273,382300000,0.0,0.0
1997-09-23 00:00:00+03:00,24.01987324795787,24.329871072144588,24.01987324795787,24.129871368408203,601570000,0.0,0.0
1997-09-24 00:00:00+03:00,24.12987146965138,25.039868408865377,24.12987146965138,24.869869232177734,665790000,0.0,0.0
1997-09-25 00:00:00+03:00,24.869869021651812,25.669864018504832,24.869869021651812,25.549863815307617,743430000,0.0,0.0
1997-09-26 00:00:00+03:00,25.549863868293965,25.919862747192383,25.169866720835355,25.919862747192383,633260000,0.0,0.0
1997-09-29 00:00:00+03:00,25.919861708396727,26.499858535907965,25.919861708396727,26.43985939025879,521220000,0.0,0.0
1997-09-30 00:00:00+03:00,26.43986050391971,26.749858328059254,25.92986297607422,25.92986297607422,432990000,0.0,0.0
1997-10-01 00:00:00+03:00,25.929862497759977,26.21985996471179,25.399864627852768,25.839862823486328,357400000,0.0,0.0
1997-10-02 00:00:00+03:00,25.839863095051133,27.01985714140593,25.839863095051133,26.96985626220703,530640000,0.0,0.0
1997-10-03 00:00:00+03:00,26.96985538269804,27.599853088689816,26.96985538269804,27.519853591918945,734310000,0.0,0.0
1997-10-06 00:00:00+03:00,27.519854907443634,28.56984859117124,27.21985534970821,28.489849090576172,668080000,0.0,0.0
1997-10-07 00:00:00+03:00,28.489849354563532,29.249845570928102,28.289851554891946,28.53985023498535,742430000,0.0,0.0
1997-10-08 00:00:00+03:00,28.53984903631352,29.44984404104669,28.379848133022293,29.389842987060547,783850000,0.0,0.0
1997-10-09 00:00:00+03:00,29.389843781259128,30.099841013906786,29.379843605324538,29.539844512939453,744750000,0.0,0.0
1997-10-10 00:00:00+03:00,29.53984392835298,29.699842925463017,29.179845231186142,29.42984390258789,590700000,0.0,0.0
1997-10-13 00:00:00+03:00,29.429843765540166,30.47983741760254,29.399843238469803,30.47983741760254,627400000,0.0,0.0
1997-10-14 00:00:00+03:00,30.479836645634055,32.539827009501536,30.479836645634055,32.11982727050781,715590000,0.0,0.0
1997-10-15 00:00:00+03:00,32.11982785638608,33.889818886885706,32.019829914870506,32.229827880859375,784640000,0.0,0.0
1997-10-16 00:00:00+03:00,32.22982972499293,32.6998284692979,31.619834236023504,32.579830169677734,581700000,0.0,0.0
1997-10-17 00:00:00+03:00,32.579828965891046,34.63981559441128,32.579828965891046,34.50981521606445,902630000,0.0,0.0
1997-10-20 00:00:00+03:00,34.509813339992,35.949808062653425,33.93981670049746,34.15981674194336,887320000,0.0,0.0
1997-10-21 00:00:00+03:00,34.15981812506704,34.59981441109738,33.679821136303865,34.41981506347656,781190000,0.0,0.0
1997-10-22 00:00:00+03:00,34.419814188632266,35.31981090386122,34.419814188632266,34.96981430053711,911850000,0.0,0.0
1997-10-23 00:00:00+03:00,34.96981672738172,36.109810102667375,34.96981672738172,35.429813385009766,805740000,0.0,0.0
1997-10-24 00:00:00+03:00,35.42981173508067,36.33980673917479,34.95981301587837,35.11981201171875,819450000,0.0,0.0
1997-10-27 00:00:00+02:00,35.119812083887666,35.119812083887666,30.949836100472805,31.189834594726562,599670000,0.0,0.0
1997-10-28 00:00:00+02:00,31.189834113157357,31.189834113157357,28.1998502958207,28.239849090576172,160390000,0.0,0.0
1997-10-30 00:00:00+02:00,28.23984910391592,31.079834104418794,27.04985491879784,27.16985511779785,714970000,0.0,0.0
1997-10-31 00:00:00+02:00,27.169856225609855,28.81984710827067,25.289867018437832,28.459848403930664,584980000,0.0,0.0
1997-11-03 00:00:00+02:00,28.459848403930664,29.389843785249994,28.269850783163246,28.459848403930664,532630000,0.0,0.0
1997-11-04 00:00:00+02:00,28.459847486196995,29.939841052237508,28.459847486196995,29.71984100341797,564790000,0.0,0.0
1997-11-05 00:00:00+02:00,29.719841851133626,31.719831254752435,29.719841851133626,31.679832458496094,722770000,0.0,0.0
1997-11-06 00:00:00+02:00,31.67983219316172,32.54982650833969,31.189835022259704,31.629831314086914,652550000,0.0,0.0
1997-11-07 00:00:00+02:00,31.629831918922907,31.629831918922907,29.179846017563403,29.579843521118164,532150000,0.0,0.0
1997-11-10 00:00:00+02:00,29.579842940537358,29.82984161376953,28.429849425137057,29.82984161376953,374940000,0.0,0.0
1997-11-11 00:00:00+02:00,29.82984198700533,30.619838719826056,29.019846809653078,29.179845809936523,596990000,0.0,0.0
